Id,OverallCond,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,SalePrice
1,5,856,856,854,1710,2,3,208500
2,8,1262,1262,0,1262,2,3,181500
3,5,920,920,866,1786,2,3,223500
4,5,756,961,756,1717,1,3,140000
5,5,1145,1145,1053,2198,2,4,250000
6,5,796,796,566,1362,1,1,143000
7,5,1686,1694,0,1694,2,3,307000
8,6,1107,1107,983,2090,2,3,200000
9,5,952,1022,752,1774,2,2,129900
10,6,991,1077,0,1077,1,2,118000
11,5,1040,1040,0,1040,1,3,129500
12,5,1175,1182,1142,2324,3,4,345000
13,6,912,912,0,912,1,2,144000
14,5,1494,1494,0,1494,2,3,279500
15,5,1253,1253,0,1253,1,2,157000
16,8,832,854,0,854,1,2,132000
17,7,1004,1004,0,1004,1,2,149000
18,5,0,1296,0,1296,2,2,90000
19,5,1114,1114,0,1114,1,3,159000
20,6,1029,1339,0,1339,1,3,139000
21,5,1158,1158,1218,2376,3,4,325300
22,7,637,1108,0,1108,1,3,139400
23,5,1777,1795,0,1795,2,3,230000
24,7,1040,1060,0,1060,1,3,129900
25,8,1060,1060,0,1060,1,3,154000
26,5,1566,1600,0,1600,2,3,256300
27,7,900,900,0,900,1,3,134800
28,5,1704,1704,0,1704,2,3,306000
29,6,1484,1600,0,1600,1,2,207500
30,6,520,520,0,520,1,1,68500
31,4,649,649,668,1317,1,3,40000
32,6,1228,1228,0,1228,1,3,149350
33,5,1234,1234,0,1234,2,3,179900
34,5,1398,1700,0,1700,1,4,165500
35,5,1561,1561,0,1561,2,2,277500
36,5,1117,1132,1320,2452,3,4,309000
37,5,1097,1097,0,1097,1,3,145000
38,6,1297,1297,0,1297,1,3,153000
39,7,1057,1057,0,1057,1,3,109000
40,5,0,1152,0,1152,2,2,82000
41,5,1088,1324,0,1324,2,3,160000
42,6,1350,1328,0,1328,1,2,170000
43,7,840,884,0,884,1,2,144000
44,6,938,938,0,938,1,3,130250
45,6,1150,1150,0,1150,1,3,141000
46,5,1752,1752,0,1752,2,2,319900
47,5,1434,1518,631,2149,1,1,239686
48,5,1656,1656,0,1656,2,3,249700
49,5,736,736,716,1452,2,2,113000
50,7,955,955,0,955,1,3,127000
51,6,794,794,676,1470,2,3,177000
52,6,816,816,0,1176,1,3,114500
53,5,816,816,0,816,1,2,110000
54,5,1842,1842,0,1842,0,0,385000
55,5,384,1360,0,1360,1,3,130000
56,5,1425,1425,0,1425,2,3,180500
57,5,970,983,756,1739,2,3,172500
58,5,860,860,860,1720,2,3,196500
59,5,1410,1426,1519,2945,3,3,438780
60,7,780,780,0,780,1,2,124900
61,5,1158,1158,0,1158,1,3,158000
62,7,530,581,530,1111,1,3,101000
63,5,1370,1370,0,1370,2,2,202500
64,6,576,902,808,1710,2,3,140000
65,5,1057,1057,977,2034,2,3,219500
66,5,1143,1143,1330,2473,2,4,317000
67,5,1947,2207,0,2207,2,3,180000
68,5,1453,1479,0,1479,2,3,226000
69,6,747,747,0,747,1,2,80000
70,4,1304,1304,983,2287,2,3,225000
71,6,2223,2223,0,2223,2,3,244000
72,6,845,845,0,845,1,2,129500
73,5,832,885,833,1718,2,3,185000
74,7,1086,1086,0,1086,1,3,144900
75,6,840,840,765,1605,2,3,107400
76,5,462,526,462,988,1,2,91000
77,7,952,952,0,952,1,2,135750
78,5,672,1072,213,1285,1,2,127000
79,5,1768,1768,0,1768,2,4,136500
80,6,440,682,548,1230,1,2,110000
81,6,896,1182,960,2142,2,4,193500
82,5,1237,1337,0,1337,2,2,153500
83,5,1563,1563,0,1563,2,3,245000
84,5,1065,1065,0,1065,1,3,126500
85,5,384,804,670,1474,2,3,168500
86,5,1288,1301,1116,2417,2,4,260000
87,5,684,684,876,1560,2,3,174000
88,5,612,612,612,1224,2,2,164500
89,2,1013,1013,0,1526,1,2,85000
90,5,990,990,0,990,1,3,123600
91,5,0,1040,0,1040,1,2,109900
92,3,1235,1235,0,1235,1,2,98600
93,7,876,964,0,964,1,2,163500
94,6,1214,1260,1031,2291,2,4,133900
95,5,824,905,881,1786,2,3,204750
96,8,680,680,790,1470,2,3,185000
97,5,1588,1588,0,1588,2,3,214000
98,5,960,960,0,960,1,3,94750
99,5,458,835,0,835,1,2,83000
100,5,950,1225,0,1225,1,3,128950
101,7,1610,1610,0,1610,2,3,205000
102,5,741,977,755,1732,2,3,178000
103,5,0,1535,0,1535,2,4,118964
104,5,1226,1226,0,1226,2,3,198900
105,4,1040,1226,592,1818,1,4,169500
